iter	Passed	Remaining
0	113	113871
1	115	57828
2	117	39084
3	119	29655
4	120	23947
5	122	20251
6	124	17595
7	125	15604
8	127	14008
9	128	12719
10	129	11663
11	131	10789
12	132	10036
13	133	9396
14	134	8839
15	137	8453
16	139	8062
17	141	7702
18	142	7359
19	143	7044
20	144	6758
21	146	6498
22	147	6262
23	148	6043
24	158	6193
25	160	6004
26	161	5824
27	162	5654
28	164	5504
29	166	5367
30	168	5252
31	169	5132
32	171	5011
33	172	4895
34	173	4784
35	174	4679
36	175	4578
37	177	4486
38	178	4395
39	179	4307
40	181	4234
41	182	4166
42	184	4098
43	185	4027
44	186	3958
45	187	3893
46	188	3831
47	190	3770
48	191	3720
49	194	3686
50	196	3658
51	198	3618
52	200	3581
53	202	3542
54	203	3502
55	205	3466
56	206	3424
57	208	3380
58	209	3339
59	210	3305
60	212	3270
61	213	3234
62	215	3198
63	216	3163
64	217	3129
65	218	3098
66	220	3065
67	221	3032
68	222	3001
69	223	2970
70	225	2946
71	226	2921
72	228	2897
73	229	2871
74	230	2844
75	231	2819
76	233	2796
77	234	2770
78	235	2746
79	236	2723
80	237	2700
81	239	2678
82	240	2654
83	241	2636
84	243	2618
85	244	2600
86	247	2593
87	248	2577
88	250	2560
89	251	2543
90	252	2526
91	254	2513
92	256	2505
93	258	2491
94	259	2476
95	261	2461
96	263	2448
97	264	2433
98	265	2417
99	267	2403
100	268	2390
101	270	2382
102	272	2369
103	273	2356
104	274	2341
105	275	2327
106	277	2312
107	278	2298
108	279	2284
109	280	2271
110	281	2257
111	283	2246
112	284	2234
113	286	2225
114	287	2215
115	289	2203
116	290	2189
117	291	2177
118	292	2165
119	293	2153
120	294	2141
121	295	2128
122	297	2118
123	298	2107
124	299	2099
125	301	2093
126	303	2082
127	304	2072
128	305	2062
129	306	2052
130	307	2042
131	309	2032
132	310	2022
133	311	2012
134	312	2003
135	313	1993
136	315	1988
137	317	1981
138	318	1973
139	319	1964
140	321	1956
141	321	1945
142	323	1936
143	324	1928
144	325	1919
145	326	1911
146	328	1903
147	329	1895
148	331	1892
149	332	1886
150	334	1878
151	335	1870
152	336	1863
153	337	1856
154	339	1849
155	340	1842
156	341	1834
157	342	1826
158	344	1819
159	345	1815
160	346	1807
161	348	1802
162	349	1795
163	350	1788
164	352	1781
165	353	1775
166	354	1768
167	355	1761
168	356	1754
169	357	1747
170	359	1741
171	361	1738
172	362	1733
173	363	1727
174	365	1721
175	366	1714
176	368	1712
177	369	1707
178	371	1703
179	373	1700
180	375	1697
181	377	1697
182	379	1693
183	381	1690
184	383	1689
185	385	1687
186	387	1682
187	388	1678
188	390	1675
189	392	1674
190	404	1712
191	407	1714
192	410	1717
193	422	1757
194	425	1756
195	428	1757
196	430	1754
197	432	1749
198	433	1745
199	435	1740
200	438	1744
201	440	1740
202	442	1737
203	445	1739
204	447	1734
205	448	1730
206	450	1725
207	461	1758
208	463	1755
209	467	1759
210	523	1957
211	525	1953
212	527	1949
213	529	1946
214	541	1976
215	543	1972
216	545	1968
